2017-12-16 03:23:20,719, DEBUG, Start RNN training master
2017-12-16 03:23:22,231, DEBUG, exp id, 0, Start RNN worker
2017-12-16 03:23:22,262, DEBUG, exp id, 1, Start RNN worker
2017-12-16 03:23:22,297, DEBUG, exp id, 2, Start RNN worker
2017-12-16 03:23:22,333, DEBUG, exp id, 3, Start RNN worker
2017-12-16 03:23:22,364, DEBUG, exp id, 4, Start RNN worker
2017-12-16 03:23:22,402, DEBUG, exp id, 5, Start RNN worker
2017-12-16 03:23:22,433, DEBUG, exp id, 6, Start RNN worker
2017-12-16 03:23:22,469, DEBUG, exp id, 7, Start RNN worker
2017-12-16 03:23:22,509, DEBUG, exp id, 8, Start RNN worker
2017-12-16 03:23:22,542, DEBUG, exp id, 9, Start RNN worker
2017-12-16 03:23:53,422, DEBUG, exp id, 7, Step, 1, Minibatch Loss, 2.83661, Training Accuracy, 0.35547
2017-12-16 03:23:53,977, DEBUG, exp id, 1, Step, 1, Minibatch Loss, 5.57589, Training Accuracy, 0.26562
2017-12-16 03:23:54,218, DEBUG, exp id, 3, Step, 1, Minibatch Loss, 3.71498, Training Accuracy, 0.25781
2017-12-16 03:23:54,737, DEBUG, exp id, 6, Step, 1, Minibatch Loss, 3.36779, Training Accuracy, 0.34375
2017-12-16 03:23:55,309, DEBUG, exp id, 4, Step, 1, Minibatch Loss, 4.38278, Training Accuracy, 0.25000
2017-12-16 03:23:55,544, DEBUG, exp id, 0, Step, 1, Minibatch Loss, 5.26562, Training Accuracy, 0.26562
2017-12-16 03:23:55,546, DEBUG, exp id, 5, Step, 1, Minibatch Loss, 2.58378, Training Accuracy, 0.28906
2017-12-16 03:23:55,558, DEBUG, exp id, 9, Step, 1, Minibatch Loss, 4.42120, Training Accuracy, 0.31250
2017-12-16 03:23:55,563, DEBUG, exp id, 8, Step, 1, Minibatch Loss, 3.27718, Training Accuracy, 0.26953
2017-12-16 03:23:55,846, DEBUG, exp id, 2, Step, 1, Minibatch Loss, 3.11153, Training Accuracy, 0.27930
2017-12-16 03:24:01,717, DEBUG, exp id, 7, Step, 50, Minibatch Loss, 0.88203, Training Accuracy, 0.63672
2017-12-16 03:24:03,427, DEBUG, exp id, 1, Step, 50, Minibatch Loss, 1.53982, Training Accuracy, 0.42188
2017-12-16 03:24:04,162, DEBUG, exp id, 3, Step, 50, Minibatch Loss, 0.85978, Training Accuracy, 0.62500
2017-12-16 03:24:05,673, DEBUG, exp id, 6, Step, 50, Minibatch Loss, 0.84727, Training Accuracy, 0.73438
2017-12-16 03:24:06,917, DEBUG, exp id, 4, Step, 50, Minibatch Loss, 0.92121, Training Accuracy, 0.66797
2017-12-16 03:24:07,173, DEBUG, exp id, 9, Step, 50, Minibatch Loss, 1.06196, Training Accuracy, 0.62500
2017-12-16 03:24:07,176, DEBUG, exp id, 0, Step, 50, Minibatch Loss, 1.19693, Training Accuracy, 0.60156
2017-12-16 03:24:07,416, DEBUG, exp id, 8, Step, 50, Minibatch Loss, 0.84247, Training Accuracy, 0.67188
2017-12-16 03:24:07,419, DEBUG, exp id, 5, Step, 50, Minibatch Loss, 0.97327, Training Accuracy, 0.62109
2017-12-16 03:24:07,657, DEBUG, exp id, 2, Step, 50, Minibatch Loss, 1.23156, Training Accuracy, 0.57227
2017-12-16 03:24:14,073, DEBUG, exp id, 7, Step, 100, Minibatch Loss, 0.66374, Training Accuracy, 0.78125
2017-12-16 03:24:15,799, DEBUG, exp id, 1, Step, 100, Minibatch Loss, 1.11300, Training Accuracy, 0.64062
2017-12-16 03:24:16,519, DEBUG, exp id, 3, Step, 100, Minibatch Loss, 0.80937, Training Accuracy, 0.67188
2017-12-16 03:24:18,009, DEBUG, exp id, 6, Step, 100, Minibatch Loss, 0.78819, Training Accuracy, 0.72656
2017-12-16 03:24:19,274, DEBUG, exp id, 4, Step, 100, Minibatch Loss, 0.74171, Training Accuracy, 0.69531
2017-12-16 03:24:19,502, DEBUG, exp id, 0, Step, 100, Minibatch Loss, 1.22474, Training Accuracy, 0.50781
2017-12-16 03:24:19,504, DEBUG, exp id, 9, Step, 100, Minibatch Loss, 0.71828, Training Accuracy, 0.73438
2017-12-16 03:24:19,779, DEBUG, exp id, 5, Step, 100, Minibatch Loss, 0.81719, Training Accuracy, 0.68750
2017-12-16 03:24:19,781, DEBUG, exp id, 8, Step, 100, Minibatch Loss, 0.72752, Training Accuracy, 0.73438
2017-12-16 03:24:19,995, DEBUG, exp id, 2, Step, 100, Minibatch Loss, 1.12576, Training Accuracy, 0.59570
2017-12-16 03:24:26,372, DEBUG, exp id, 7, Step, 150, Minibatch Loss, 0.62142, Training Accuracy, 0.78906
